name	path	emotion
m10_neu_11_glt	/groups/gac50538/arhmm/m10/neu/m10_neu_11_glt.wav	neu
f38_joy_12_spc	/groups/gac50538/arhmm/f38/joy/f38_joy_12_spc.wav	joy
f28_ang_36	/groups/gac50538/wav/f28/ang/f28_ang_36.wav	ang
m01_sad_30	/groups/gac50538/wav/m01/sad/m01_sad_30.wav	sad
m02_joy_32_glt	/groups/gac50538/arhmm/m02/joy/m02_joy_32_glt.wav	joy
m06_ang_11	/groups/gac50538/wav/m06/ang/m06_ang_11.wav	ang
f19_neu_09_spc	/groups/gac50538/arhmm/f19/neu/f19_neu_09_spc.wav	neu
m24_sad_39_glt	/groups/gac50538/arhmm/m24/sad/m24_sad_39_glt.wav	sad
m15_ang_23	/groups/gac50538/wav/m15/ang/m15_ang_23.wav	ang
f08_ang_13	/groups/gac50538/wav/f08/ang/f08_ang_13.wav	ang
f36_sad_28_glt	/groups/gac50538/arhmm/f36/sad/f36_sad_28_glt.wav	sad
m31_joy_09	/groups/gac50538/wav/m31/joy/m31_joy_09.wav	joy
m02_ang_38_glt	/groups/gac50538/arhmm/m02/ang/m02_ang_38_glt.wav	ang
f05_ang_25_glt	/groups/gac50538/arhmm/f05/ang/f05_ang_25_glt.wav	ang
f30_sad_06	/groups/gac50538/wav/f30/sad/f30_sad_06.wav	sad
m01_ang_06_glt	/groups/gac50538/arhmm/m01/ang/m01_ang_06_glt.wav	ang
f29_neu_04	/groups/gac50538/wav/f29/neu/f29_neu_04.wav	neu
f34_ang_10	/groups/gac50538/wav/f34/ang/f34_ang_10.wav	ang
m24_joy_36_spc	/groups/gac50538/arhmm/m24/joy/m24_joy_36_spc.wav	joy
f19_neu_31_glt	/groups/gac50538/arhmm/f19/neu/f19_neu_31_glt.wav	neu
f03_neu_23_spc	/groups/gac50538/arhmm/f03/neu/f03_neu_23_spc.wav	neu
f30_joy_02_glt	/groups/gac50538/arhmm/f30/joy/f30_joy_02_glt.wav	joy
m45_sad_36_glt	/groups/gac50538/arhmm/m45/sad/m45_sad_36_glt.wav	sad
m42_sad_16_glt	/groups/gac50538/arhmm/m42/sad/m42_sad_16_glt.wav	sad
f09_ang_31_spc	/groups/gac50538/arhmm/f09/ang/f09_ang_31_spc.wav	ang
f29_neu_23_glt	/groups/gac50538/arhmm/f29/neu/f29_neu_23_glt.wav	neu
m02_joy_16_glt	/groups/gac50538/arhmm/m02/joy/m02_joy_16_glt.wav	joy
f23_ang_02	/groups/gac50538/wav/f23/ang/f23_ang_02.wav	ang
f17_ang_19_glt	/groups/gac50538/arhmm/f17/ang/f17_ang_19_glt.wav	ang
m33_neu_19	/groups/gac50538/wav/m33/neu/m33_neu_19.wav	neu
f12_ang_28_spc	/groups/gac50538/arhmm/f12/ang/f12_ang_28_spc.wav	ang
f08_sad_20_glt	/groups/gac50538/arhmm/f08/sad/f08_sad_20_glt.wav	sad
m39_ang_19_glt	/groups/gac50538/arhmm/m39/ang/m39_ang_19_glt.wav	ang
f20_neu_02_spc	/groups/gac50538/arhmm/f20/neu/f20_neu_02_spc.wav	neu
m09_sad_23	/groups/gac50538/wav/m09/sad/m09_sad_23.wav	sad
f02_ang_01_spc	/groups/gac50538/arhmm/f02/ang/f02_ang_01_spc.wav	ang
f16_joy_24_glt	/groups/gac50538/arhmm/f16/joy/f16_joy_24_glt.wav	joy
m36_sad_40_spc	/groups/gac50538/arhmm/m36/sad/m36_sad_40_spc.wav	sad
m08_sad_26_glt	/groups/gac50538/arhmm/m08/sad/m08_sad_26_glt.wav	sad
m18_sad_20	/groups/gac50538/wav/m18/sad/m18_sad_20.wav	sad
m12_joy_11_spc	/groups/gac50538/arhmm/m12/joy/m12_joy_11_spc.wav	joy
m40_ang_33	/groups/gac50538/wav/m40/ang/m40_ang_33.wav	ang
f27_ang_26_glt	/groups/gac50538/arhmm/f27/ang/f27_ang_26_glt.wav	ang
